,customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_TotalCharges_ratio,tenure_ratio
0,7590-VHVEG,1,1,Month-to-month,Electronic check,29.85,29.85,No,1.0,0.03350083752093802
1,5575-GNVDE,34,0,One year,2,56.95,1889.5,No,0.03014024874305372,0.5970149253731343
2,3668-QPYBK,2,0,Month-to-month,2,53.85,108.15,Yes,0.49791955617198336,0.03714020427112349
3,7795-CFOCW,45,1,One year,Bank transfer (automatic),42.3,1840.75,No,0.02297976368328127,1.0638297872340425
4,9237-HQITU,2,0,Month-to-month,Electronic check,70.7,151.65,Yes,0.4662050774810419,0.028288543140028287
5,9305-CDSKC,8,0,Month-to-month,Electronic check,99.65,820.5,Yes,0.1214503351614869,0.08028098344204716
6,1452-KIOVK,22,0,Month-to-month,Credit card (automatic),89.1,1949.4,No,0.04570637119113573,0.2469135802469136
7,6713-OKOMC,10,1,Month-to-month,2,29.75,301.9,No,0.09854256376283538,0.33613445378151263
8,7892-POOKP,28,0,Month-to-month,Electronic check,104.8,3046.05,Yes,0.034405213309039576,0.26717557251908397
9,6388-TABGU,62,0,One year,Bank transfer (automatic),56.15,3487.95,No,0.016098281225361603,1.1041852181656278
10,9763-GRSKD,13,0,Month-to-month,2,49.95,587.45,No,0.08502851306494169,0.2602602602602602
11,7469-LKBCI,16,0,Two year,Credit card (automatic),18.95,326.8,No,0.05798653610771114,0.8443271767810027
12,8091-TTVAX,58,0,One year,Credit card (automatic),100.35,5681.1,No,0.017663832708454348,0.5779770802192327
13,0280-XJGEX,49,0,Month-to-month,Bank transfer (automatic),103.7,5036.3,Yes,0.02059051287651649,0.47251687560270006
14,5129-JLPIS,25,0,Month-to-month,Electronic check,105.5,2686.05,No,0.03927700526795853,0.23696682464454977
15,3655-SNQYZ,69,0,Two year,Credit card (automatic),113.25,7895.15,No,0.014344249317619046,0.609271523178808
16,8191-XWSZG,52,0,One year,2,20.65,1022.95,No,0.020186714893201035,2.5181598062953996
17,9959-WOFKT,71,0,Two year,Bank transfer (automatic),106.7,7382.25,No,0.01445358799823902,0.6654170571696345
18,4190-MFLUW,10,0,Month-to-month,Credit card (automatic),55.2,528.35,Yes,0.10447619948897512,0.18115942028985507
19,4183-MYFRB,21,0,Month-to-month,Electronic check,90.05,1862.9,No,0.0483386118417521,0.2332037756801777
